id,nickname,name,description,posts_published,comments_written
1,madza,Madza,Discussions. 💬 Tools. 🛠 Resources. 📚 All things productivity. 🎯🚀💯,257 posts published,1549 comments written
1,boyum,Sindre Bøyum,404 bio not found,6 posts published,6 comments written
1,hendr_ik,Hendrik,I co-create Offen. A fair web analytics tool.,20 posts published,12 comments written
1,seanpgallivan,seanpgallivan,Fledgling software developer; the struggle is a Rational Approximation.,116 posts published,19 comments written
